municipio,local,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
110001,ALTA FLORESTA D'OESTE,-,31,98,490,15,2,232,7,2,374,397,256,305,2209
110002,ARIQUEMES,4,62,21,62,61,8,28,155,49,1116,362,85,188,2201
110003,CABIXI,-,8,124,52,5,4,92,10,1,26,64,13,11,410
110004,CACOAL,2,36,54,248,28,33,35,113,214,2195,586,179,71,3794
110005,CEREJEIRAS,-,11,41,350,269,10,14,154,5,26,137,50,25,1092
110006,COLORADO DO OESTE,2,28,11,35,15,16,11,62,8,5,43,61,4,301
110007,CORUMBIARA,-,11,18,12,5,-,6,37,2,-,68,28,81,268
110008,COSTA MARQUES,1,116,10,37,-,-,2,28,29,33,52,123,7,438
110009,ESPIGAO D'OESTE,-,17,281,512,118,41,14,125,24,490,179,249,164,2214
110010,GUAJARA-MIRIM,-,23,14,283,98,48,8,29,73,77,126,18,3,800
110011,JARU,-,48,20,116,141,1,10,120,37,1344,670,112,68,2687
110012,JI-PARANA,6,220,34,926,81,28,15,9,79,766,644,154,160,3122
110013,MACHADINHO D'OESTE,1,80,16,462,123,6,2,40,16,252,66,82,8,1154
110014,NOVA BRASILANDIA D'OESTE,-,23,4,347,71,4,22,239,39,686,95,138,18,1686
110015,OURO PRETO DO OESTE,1,46,48,106,56,7,14,11,7,41,44,17,12,410
110018,PIMENTA BUENO,-,35,73,526,40,5,11,38,49,313,830,80,17,2017
110020,PORTO VELHO,1,306,233,1009,357,114,181,309,212,2021,1160,613,164,6680
110025,PRESIDENTE MEDICI,-,24,14,102,42,13,24,19,41,225,141,146,61,852
110026,RIO CRESPO,-,1,5,45,2,3,-,16,3,24,36,61,3,199
110028,ROLIM DE MOURA,1,77,36,360,89,11,5,157,16,259,621,878,207,2717
110029,SANTA LUZIA D'OESTE,-,6,4,54,2,2,-,30,10,98,86,34,19,345
110030,VILHENA,-,70,349,331,23,15,17,1151,101,1322,1699,327,1392,6797
110032,SAO MIGUEL DO GUAPORE,-,-,12,44,4,1,1,90,38,76,9,56,7,338
110033,NOVA MAMORE,-,3,11,159,3,2,29,222,9,105,196,64,23,826
110034,ALVORADA D'OESTE,-,24,35,82,8,-,-,2,1,176,184,19,4,535
110037,ALTO ALEGRE DOS PARECIS,-,14,13,7,12,2,38,84,4,12,142,50,27,405
110040,ALTO PARAISO,-,20,1,12,25,5,5,12,27,94,36,13,20,270
110045,BURITIS,1,136,169,264,143,108,103,203,242,367,119,220,33,2108
110050,NOVO HORIZONTE DO OESTE,-,19,7,65,4,-,1,1,14,-,33,83,6,233
110060,CACAULANDIA,-,8,14,13,50,-,-,22,6,56,252,67,10,498
110070,CAMPO NOVO DE RONDONIA,-,218,28,17,20,4,12,9,76,46,16,17,5,468
110080,CANDEIAS DO JAMARI,-,10,34,79,14,6,7,-,7,67,13,179,19,435
110090,CASTANHEIRAS,-,-,4,28,3,-,3,-,35,40,11,40,24,188
110092,CHUPINGUAIA,-,19,48,31,-,-,-,7,92,71,271,37,38,614
110094,CUJUBIM,-,1,2,64,56,1,7,-,7,66,129,77,6,416
110100,GOVERNADOR JORGE TEIXEIRA,-,2,3,14,6,1,-,9,2,143,9,10,3,202
110110,ITAPUA DO OESTE,-,29,6,39,9,1,4,119,58,42,180,1,11,499
110120,MINISTRO ANDREAZZA,-,2,79,28,7,-,1,5,35,56,30,25,-,268
110130,MIRANTE DA SERRA,-,9,-,12,7,-,-,1,-,123,89,6,15,262
110140,MONTE NEGRO,-,5,16,30,32,4,13,18,291,49,184,45,-,687
110143,NOVA UNIAO,-,7,9,12,9,1,1,2,2,20,9,7,15,94
110145,PARECIS,-,7,129,64,16,3,-,50,75,4,74,55,36,513
110146,PIMENTEIRAS DO OESTE,-,2,-,41,5,5,4,18,1,-,38,55,14,183
110147,PRIMAVERA DE RONDONIA,-,5,-,7,1,2,2,91,34,11,97,44,12,306
110148,SAO FELIPE D'OESTE,-,50,13,50,18,7,2,23,4,106,68,115,4,460
110149,SAO FRANCISCO DO GUAPORE,-,23,42,72,10,3,8,57,64,269,110,9,34,701
110150,SERINGUEIRAS,-,26,11,71,7,6,-,-,110,345,44,10,1,631
110155,TEIXEIROPOLIS,-,-,4,5,3,-,-,1,9,57,6,7,2,94
110160,THEOBROMA,-,9,2,21,4,-,-,12,4,20,78,19,-,169
110170,URUPA,-,65,44,23,13,-,-,1,26,41,21,17,8,259
110175,VALE DO ANARI,-,2,4,23,22,3,2,38,2,32,86,102,69,385
110180,VALE DO PARAISO,-,-,2,74,44,1,4,1,1,73,60,13,1,274
120001,ACRELANDIA,-,2,5,4,140,62,10,34,175,7,36,7,12,494
120005,ASSIS BRASIL,-,19,6,482,2,4,82,192,463,188,534,426,60,2458
120010,BRASILEIA,-,49,38,131,162,157,356,718,551,112,1106,959,71,4410
120013,BUJARI,-,1,-,-,-,8,-,4,71,1,174,27,47,333
120017,CAPIXABA,-,8,1,39,18,15,63,1,82,9,248,25,24,533
120020,CRUZEIRO DO SUL,-,27492,5326,324,631,1081,2913,2872,1181,1619,901,1442,3605,49387
120025,EPITACIOLANDIA,-,1,24,158,86,37,43,83,36,4,37,113,36,658
120030,FEIJO,-,5,3,7,-,1219,1,49,566,307,781,498,575,4011
120032,JORDAO,-,-,-,1,-,-,-,-,1,-,-,-,-,2
120033,MANCIO LIMA,-,45,19,5,5,589,299,145,237,118,271,208,80,2021
120034,MANOEL URBANO,-,1,-,-,-,185,4,7,223,19,116,46,62,663
120035,MARECHAL THAUMATURGO,-,-,-,1,-,-,12,588,513,148,19,273,138,1692
120038,PLACIDO DE CASTRO,-,4,2,13,123,478,128,3,33,3,115,13,13,928
120039,PORTO WALTER,-,22,1,-,-,3,-,22,11,145,72,30,250,556
120040,RIO BRANCO,13,732,566,949,498,1757,2879,1379,5761,261,1450,1423,3618,21286
120042,RODRIGUES ALVES,-,51,33,4,19,87,422,358,472,207,102,374,218,2347
120043,SANTA ROSA DO PURUS,-,1,-,-,-,-,-,-,-,-,3,-,-,4
120045,SENADOR GUIOMARD,-,7,3,11,1,23,30,24,28,5,55,30,43,260
120050,SENA MADUREIRA,-,19,-,3,2,1134,308,69,623,198,553,133,129,3171
120060,TARAUACA,-,-,-,-,-,281,1938,823,3022,124,329,228,269,7014
120070,XAPURI,-,5,38,119,198,145,692,232,870,39,147,30,42,2557
120080,PORTO ACRE,-,-,2,1,-,72,12,128,85,4,141,8,8,461
130002,ALVARAES,-,13,19,2,5,1,3,-,18,220,236,86,20,623
130006,AMATURA,-,4,-,-,-,-,-,-,3,-,-,1,-,8
130008,ANAMA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
130010,ANORI,-,39,3,1,1,2,-,-,3,-,-,-,-,49
130014,APUI,-,1,6,10,1,-,-,-,-,-,7,-,-,25
130020,ATALAIA DO NORTE,-,6,-,-,-,-,12,9,3,166,17,64,568,845
130030,AUTAZES,-,-,-,23,1,-,-,-,1,-,-,2,2,29
130040,BARCELOS,-,9,106,5,3,1,9,45,5,2,17,7,36,245
130050,BARREIRINHA,-,-,-,2,-,-,-,-,-,-,-,-,-,2
130060,BENJAMIN CONSTANT,-,2,-,20,12,1,435,672,83,1647,88,1,234,3195
130063,BERURI,-,-,-,23,11,-,-,-,16,2,2,43,4,101
130068,BOA VISTA DO RAMOS,-,-,-,28,7,1,-,-,1,-,-,2,-,39
130070,BOCA DO ACRE,-,8,6,5,1,-,195,644,120,-,1,9,2,991
130080,BORBA,-,48,11,69,42,8,43,16,25,1,42,7,14,326
130083,CAAPIRANGA,-,1,-,-,1,-,-,-,1,-,-,9,1,13
130090,CANUTAMA,-,-,-,-,1,-,-,-,-,-,-,162,24,187
130100,CARAUARI,-,-,-,3,35,2,622,358,40,5,2,19,9,1095
130110,CAREIRO,-,6,2,16,-,-,-,5,-,-,-,12,4,45
130115,CAREIRO DA VARZEA,-,-,-,-,-,-,-,-,-,-,-,1,1,2
130120,COARI,15,492,1,112,243,15,2,8,7,93,123,408,43,1562
130130,CODAJAS,-,6,-,-,59,1,7,7,18,3,26,304,38,469
130140,EIRUNEPE,-,-,-,-,-,-,17,275,109,-,5,43,329,778
130150,ENVIRA,-,-,-,1,-,1,-,21,134,123,4,885,325,1494
130160,FONTE BOA,-,-,1,1,-,-,-,1,3,1,-,-,3,10
130165,GUAJARA,-,227,44,66,80,109,619,428,44,104,44,939,260,2964
130170,HUMAITA,-,65,9,30,51,18,70,148,213,273,278,36,7,1198
130180,IPIXUNA,-,-,-,-,-,-,22,31,140,402,457,16,278,1346
130185,IRANDUBA,-,-,-,16,8,-,1,8,281,45,90,25,17,491
130190,ITACOATIARA,-,463,129,115,26,354,35,19,13,13,4,24,83,1278
130200,ITAPIRANGA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
130210,JAPURA,-,-,-,14,2,-,-,-,3,178,292,201,51,741
130220,JURUA,-,-,-,-,-,-,-,-,-,-,-,8,-,8
130230,JUTAI,-,-,-,-,-,-,-,508,223,7,696,690,357,2481
130240,LABREA,-,22,8,29,16,3,1,592,337,79,609,691,46,2433
130250,MANACAPURU,-,13,11,43,17,2,14,8,174,17,23,46,34,402
130255,MANAQUIRI,-,-,-,2,-,-,-,-,-,-,-,7,-,9
130260,MANAUS,8,2608,1627,5359,2554,1303,477,959,4016,1197,1172,2606,841,24727
130270,MANICORE,-,3,30,-,-,-,-,15,485,189,92,48,21,883
130280,MARAA,-,5,-,2,-,-,-,-,-,-,113,11,10,141
130290,MAUES,-,3,156,154,45,15,4,-,5,1,67,85,25,560
130300,NHAMUNDA,-,-,-,-,-,-,-,-,-,-,-,4,-,4
130310,NOVA OLINDA DO NORTE,-,3,27,109,9,1,1,-,-,-,-,-,-,150
130320,NOVO AIRAO,-,5,-,73,14,-,7,-,12,8,-,15,43,177
130330,NOVO ARIPUANA,-,57,259,304,36,16,15,12,5,-,3,3,4,714
130340,PARINTINS,-,10,523,14,24,7,2,30,34,12,5,22,7,690
130350,PAUINI,-,-,-,-,2,-,1,1,2,-,-,-,-,6
130353,PRESIDENTE FIGUEIREDO,-,26,12,28,-,3,48,91,41,12,8,21,56,346
130356,RIO PRETO DA EVA,-,-,-,-,-,3,1,4,11,37,16,9,2,83
130360,SANTA ISABEL DO RIO NEGRO,-,-,-,-,-,-,-,42,16,4,1,-,10,73
130370,SANTO ANTONIO DO ICA,-,1,4,-,-,-,2,37,82,103,27,63,7,326
130380,SAO GABRIEL DA CACHOEIRA,-,385,144,212,72,114,865,864,24,3,3,44,5,2735
130390,SAO PAULO DE OLIVENCA,-,-,3,-,-,-,5,15,130,66,160,4,24,407
130395,SAO SEBASTIAO DO UATUMA,-,-,-,-,-,-,-,-,25,-,1,8,-,34
130400,SILVES,-,1,2,9,-,-,-,-,-,-,-,-,-,12
130406,TABATINGA,7,1090,316,344,114,17,385,99,144,134,138,60,69,2917
130410,TAPAUA,-,1,124,85,98,38,15,-,939,109,154,182,13,1758
130420,TEFE,-,695,78,77,309,280,49,61,262,45,862,379,62,3159
130423,TONANTINS,-,-,-,-,-,-,-,19,22,58,376,233,24,732
130426,UARINI,-,-,-,-,-,-,-,-,-,-,8,-,-,8
130430,URUCARA,-,-,-,60,-,-,2,-,-,-,-,-,-,62
130440,URUCURITUBA,-,-,-,50,2,5,-,-,1,-,-,3,-,61
140002,AMAJARI,-,12,40,5,4,-,6,4,-,1,-,2,3,77
140005,ALTO ALEGRE,-,20,10,3,-,1,6,-,7,5,1,36,1,90
140010,BOA VISTA,2,320,440,82,203,75,1038,374,41,42,63,267,210,3157
140015,BONFIM,-,103,37,3,9,1,46,12,5,1,85,5,7,314
140017,CANTA,-,2,17,16,2,-,5,26,-,1,15,21,2,107
140020,CARACARAI,8,56,131,7,5,1,198,11,7,1,8,4,32,469
140023,CAROEBE,-,5,4,47,-,-,210,3,13,1,2,-,-,285
140028,IRACEMA,-,112,52,2,3,-,1,-,3,-,22,22,7,224
140030,MUCAJAI,-,34,48,8,13,3,46,8,6,6,6,3,3,184
140040,NORMANDIA,-,3,8,-,-,3,2,35,-,-,1,58,3,113
140045,PACARAIMA,-,15,6,-,-,1,3,-,-,-,3,34,46,108
140047,RORAINOPOLIS,-,441,286,4,20,22,6,19,18,3,18,154,29,1020
140050,SAO JOAO DA BALIZA,-,5,22,33,23,4,17,-,11,1,-,1,10,127
140060,SAO LUIZ,-,-,-,-,2,-,2,1,-,-,-,19,6,30
140070,UIRAMUTA,-,-,9,-,-,-,19,-,-,-,-,-,1,29
150010,ABAETETUBA,-,12,34,125,164,39,7,15,10,9,25,300,75,815
150013,ABEL FIGUEIREDO,-,11,15,20,7,2,6,1,-,-,9,10,10,91
150020,ACARA,-,63,1,7,2,8,2,3,7,31,31,77,17,249
150030,AFUA,-,-,1,1,1,1,5,-,-,153,223,199,143,727
150034,AGUA AZUL DO NORTE,-,3,22,16,175,5,30,4,26,25,122,62,6,496
150040,ALENQUER,-,3,221,532,42,14,5,44,111,23,2,79,8,1084
150050,ALMEIRIM,-,158,-,1,8,77,-,-,-,-,-,98,9,351
150060,ALTAMIRA,1,259,286,83,51,18,57,313,202,121,355,711,770,3227
150070,ANAJAS,-,-,-,-,1,-,-,-,-,70,5,192,32,300
150080,ANANINDEUA,-,72,405,312,69,80,68,44,17,53,66,564,142,1892
150085,ANAPU,3,243,15,52,594,5,134,17,2,68,16,583,118,1850
150090,AUGUSTO CORREA,-,3,38,4,4,65,4,17,9,1,3,77,356,581
150095,AURORA DO PARA,-,7,2,4,6,16,1,-,1,4,91,30,18,180
150100,AVEIRO,-,-,-,1,-,-,-,-,-,-,-,-,40,41
150110,BAGRE,-,-,61,-,-,-,-,2,-,-,9,8,-,80
150120,BAIAO,-,1,1,3,1,30,1,-,3,4,4,152,26,226
150125,BANNACH,-,25,14,38,13,3,29,54,25,11,26,81,10,329
150130,BARCARENA,-,6,14,75,35,24,9,9,2,4,4,238,209,629
150140,BELEM,1,487,1476,742,303,294,204,234,623,260,481,3403,848,9356
150145,BELTERRA,-,-,12,21,9,17,4,17,23,7,7,546,48,711
150150,BENEVIDES,-,6,57,47,2,9,6,15,18,3,50,219,94,526
150157,BOM JESUS DO TOCANTINS,-,-,1,1,1,-,-,-,-,9,6,8,19,45
150160,BONITO,-,-,8,2,3,3,18,5,-,-,-,-,2,41
150170,BRAGANCA,-,9,66,220,32,23,30,14,8,2,7,103,1,515
150172,BRASIL NOVO,-,74,221,45,6,9,73,28,12,6,5,8,116,603
150175,BREJO GRANDE DO ARAGUAIA,-,18,23,42,4,16,2,4,7,1,6,13,8,144
150178,BREU BRANCO,-,1,25,456,344,145,5,10,-,-,6,2,104,1098
150180,BREVES,-,6,213,45,-,-,2,5,1,-,45,118,18,453
150190,BUJARU,-,-,-,-,-,-,-,-,-,-,1,28,46,75
150195,CACHOEIRA DO PIRIA,-,19,4,81,23,-,-,2,-,-,-,28,3,160
150210,CAMETA,1,17,37,45,19,4,13,73,13,89,172,648,59,1190
150215,CANAA DOS CARAJAS,-,15,183,82,30,32,299,14,49,264,127,209,448,1752
150220,CAPANEMA,-,12,91,140,19,41,63,24,13,5,38,27,10,483
150230,CAPITAO POCO,-,5,24,76,148,42,2,-,-,2,21,76,2,398
150240,CASTANHAL,-,20,154,59,55,120,30,46,16,10,152,892,350,1904
150250,CHAVES,-,-,-,-,-,-,2,-,-,-,-,-,-,2
150260,COLARES,-,1,20,2,3,-,1,-,1,1,3,371,46,449
150270,CONCEICAO DO ARAGUAIA,-,13,15,95,143,99,291,52,853,555,121,158,284,2679
150275,CONCORDIA DO PARA,-,4,-,5,-,4,-,2,2,6,1,81,22,127
150276,CUMARU DO NORTE,-,4,27,179,13,9,8,23,36,15,107,95,181,697
150277,CURIONOPOLIS,-,18,11,54,2,-,3,-,-,19,1,9,21,138
150280,CURRALINHO,-,-,-,-,-,-,1,3,2,-,-,150,13,169
150285,CURUA,-,-,1,5,1,-,-,-,-,2,-,13,1,23
150290,CURUCA,-,11,14,11,5,20,4,1,-,8,6,99,4,183
150293,DOM ELISEU,-,21,67,503,3,9,35,8,-,39,11,69,172,937
150295,ELDORADO DOS CARAJAS,-,20,-,4,1,-,-,-,1,25,5,5,189,250
150300,FARO,-,-,-,-,-,-,-,1,-,-,-,59,-,60
150304,FLORESTA DO ARAGUAIA,-,-,24,190,5,83,11,2,64,171,108,5,166,829
150307,GARRAFAO DO NORTE,-,-,-,3,3,2,-,-,-,-,-,15,2,25
150309,GOIANESIA DO PARA,-,2,26,116,141,222,273,37,-,36,6,11,26,896
150310,GURUPA,-,37,7,16,3,1,-,-,-,-,-,13,-,77
150320,IGARAPE-ACU,-,4,4,22,1,5,10,15,-,19,47,198,15,340
150330,IGARAPE-MIRI,-,-,8,4,1,6,11,3,31,33,6,169,24,296
150340,INHANGAPI,-,10,75,12,5,73,1,3,2,-,5,54,81,321
150345,IPIXUNA DO PARA,-,19,3,6,6,8,5,8,8,17,31,90,21,222
150350,IRITUIA,-,6,36,5,5,13,2,6,1,2,5,15,1,97
150360,ITAITUBA,-,68,63,555,45,30,21,135,514,61,13,164,576,2245
150370,ITUPIRANGA,-,33,38,25,11,10,26,7,1,28,166,25,65,435
150375,JACAREACANGA,-,-,-,3,1,-,-,-,-,-,-,2,3,9
150380,JACUNDA,-,2,16,68,96,3,18,11,2,81,169,125,256,847
150390,JURUTI,-,26,-,31,18,4,2,1,8,10,3,62,4,169
150400,LIMOEIRO DO AJURU,-,-,5,5,30,3,1,1,-,-,3,32,4,84
150405,MAE DO RIO,-,1,8,4,-,153,14,-,-,4,24,25,7,240
150410,MAGALHAES BARATA,-,-,6,-,-,3,-,-,2,-,23,13,-,47
150420,MARABA,1,92,133,542,456,24,53,1,8,65,33,146,106,1660
150430,MARACANA,-,1,2,16,27,26,22,-,-,21,5,11,2,133
150440,MARAPANIM,-,-,1,-,2,178,10,-,-,-,5,42,-,238
150442,MARITUBA,-,103,326,196,97,60,24,17,12,24,22,231,118,1230
150445,MEDICILANDIA,-,12,6,4,45,28,63,62,54,14,15,9,35,347
150450,MELGACO,-,-,-,-,-,-,-,-,-,-,3,10,20,33
150460,MOCAJUBA,-,1,13,21,2,2,23,23,2,3,1,61,25,177
150470,MOJU,-,2,4,3,1,57,39,2,4,5,14,46,11,188
150475,MOJUI DOS CAMPOS,-,30,166,31,13,7,4,13,7,44,11,121,4,451
150480,MONTE ALEGRE,-,2,232,501,4,-,1,7,1,-,107,687,-,1542
150490,MUANA,-,12,6,3,-,-,-,-,1,-,10,14,5,51
150495,NOVA ESPERANCA DO PIRIA,-,3,-,26,67,13,4,1,-,-,1,8,26,149
150497,NOVA IPIXUNA,-,14,61,97,6,8,69,2,2,1,3,25,25,313
150500,NOVA TIMBOTEUA,-,-,25,18,6,83,2,-,-,-,-,23,-,157
150503,NOVO PROGRESSO,-,68,122,301,66,68,98,294,41,104,108,241,773,2284
150506,NOVO REPARTIMENTO,-,11,9,192,144,92,111,36,74,45,69,24,300,1107
150510,OBIDOS,-,6,11,47,3,1,2,3,10,11,7,22,15,138
150520,OEIRAS DO PARA,-,1,-,9,1,-,-,-,-,-,4,276,2,293
150530,ORIXIMINA,2,219,45,322,34,10,8,-,9,12,8,129,2,800
150540,OUREM,-,1,2,1,1,-,-,1,10,1,1,11,-,29
150543,OURILANDIA DO NORTE,-,16,63,41,72,15,65,40,35,5,4,70,53,479
150548,PACAJA,2,176,165,224,285,55,66,43,117,55,11,218,960,2377
150549,PALESTINA DO PARA,-,-,-,-,68,27,3,7,1,8,7,9,69,199
150550,PARAGOMINAS,-,7,3,8,44,-,48,3,2,20,63,66,22,286
150553,PARAUAPEBAS,8,527,449,347,1113,260,1638,469,139,1206,411,868,1329,8764
150555,PAU D'ARCO,-,-,2,40,43,54,1,16,10,36,56,331,118,707
150560,PEIXE-BOI,-,-,2,22,-,2,3,4,5,10,9,29,8,94
150563,PICARRA,-,-,-,4,-,-,3,1,2,15,4,-,-,29
150565,PLACAS,-,8,19,4,1,-,-,-,-,7,1,82,143,265
150570,PONTA DE PEDRAS,-,15,125,53,-,4,1,2,1,9,5,39,21,275
150580,PORTEL,-,13,69,20,-,2,-,-,-,-,4,89,46,243
150590,PORTO DE MOZ,-,-,24,9,-,-,-,4,-,1,1,2,1,42
150600,PRAINHA,-,-,69,87,1,1,2,-,20,166,53,1030,11,1440
150610,PRIMAVERA,-,-,41,31,6,3,-,-,1,11,-,-,8,101
150611,QUATIPURU,-,-,2,39,6,23,6,-,2,1,4,7,-,90
150613,REDENCAO,-,8,29,45,127,77,12,55,65,74,51,101,563,1207
150616,RIO MARIA,-,17,24,19,39,5,33,46,4,25,90,241,137,680
150618,RONDON DO PARA,-,10,67,244,79,58,54,2,2,13,21,47,16,613
150619,RUROPOLIS,-,3,27,232,26,-,82,19,69,70,79,330,73,1010
150620,SALINOPOLIS,-,10,21,16,1,8,11,5,1,1,36,38,6,154
150630,SALVATERRA,-,8,11,23,3,-,-,5,1,-,-,6,-,57
150635,SANTA BARBARA DO PARA,-,8,23,8,-,7,17,9,2,1,7,32,53,167
150650,SANTA IZABEL DO PARA,-,16,125,22,2,6,3,11,6,44,137,171,42,585
150655,SANTA LUZIA DO PARA,-,3,13,20,12,10,18,-,144,52,29,46,5,352
150658,SANTA MARIA DAS BARREIRAS,-,30,54,110,95,35,75,30,-,5,1,32,68,535
150660,SANTA MARIA DO PARA,-,1,-,13,3,30,3,3,1,5,3,30,15,107
150670,SANTANA DO ARAGUAIA,-,7,18,165,21,2,62,135,436,311,35,237,170,1599
150680,SANTAREM,-,23,49,24,12,41,30,85,96,325,48,244,191,1168
150690,SANTAREM NOVO,-,-,12,2,9,14,1,9,-,4,1,1,-,53
150700,SANTO ANTONIO DO TAUA,-,1,12,12,5,21,4,6,7,-,1,13,7,89
150710,SAO CAETANO DE ODIVELAS,-,1,12,3,5,8,5,-,3,-,5,145,7,194
150715,SAO DOMINGOS DO ARAGUAIA,-,34,90,126,6,-,10,17,7,13,22,131,125,581
150720,SAO DOMINGOS DO CAPIM,-,16,6,4,2,2,5,5,2,1,27,260,20,350
150730,SAO FELIX DO XINGU,-,182,90,134,47,64,144,130,90,58,10,19,209,1177
150740,SAO FRANCISCO DO PARA,-,16,1,6,20,13,2,-,2,-,-,39,3,102
150745,SAO GERALDO DO ARAGUAIA,-,55,28,99,219,4,2,3,46,35,4,1,8,504
150746,SAO JOAO DA PONTA,-,33,12,5,1,2,-,-,1,-,-,34,2,90
150747,SAO JOAO DE PIRABAS,-,1,4,25,31,8,6,21,1,6,99,17,-,219
150750,SAO JOAO DO ARAGUAIA,-,7,16,106,102,83,123,56,268,76,105,195,124,1261
150760,SAO MIGUEL DO GUAMA,-,2,3,9,1,8,7,-,-,6,8,167,32,243
150770,SAO SEBASTIAO DA BOA VISTA,-,3,7,6,2,1,-,-,-,-,-,6,4,29
150775,SAPUCAIA,-,-,-,91,1,-,-,8,67,9,9,4,125,314
150780,SENADOR JOSE PORFIRIO,1,512,207,23,7,3,236,9,40,30,56,80,45,1249
150790,SOURE,-,5,30,32,98,4,8,6,4,13,13,22,6,241
150795,TAILANDIA,-,32,37,20,7,5,12,1,2,180,87,22,172,577
150796,TERRA ALTA,-,1,12,3,1,22,-,-,1,3,9,58,14,124
150797,TERRA SANTA,-,5,1,-,-,-,-,-,-,1,-,5,-,12
150800,TOME-ACU,-,31,100,92,4,1,39,7,1,7,114,179,328,903
150803,TRACUATEUA,-,18,23,41,1,13,19,11,3,-,10,11,7,157
150805,TRAIRAO,-,-,2,10,-,-,-,24,146,26,2,116,49,375
150808,TUCUMA,-,30,63,5,9,-,14,12,1,8,34,36,101,313
150810,TUCURUI,-,21,35,372,424,89,15,15,6,5,36,65,112,1195
150812,ULIANOPOLIS,-,1,3,3,1,2,1,4,-,9,4,18,2,48
150815,URUARA,-,79,34,24,-,-,7,37,5,28,12,59,241,526
150820,VIGIA,-,6,-,-,179,23,3,4,-,-,-,124,5,344
150830,VISEU,-,1,30,21,1,71,-,-,2,3,12,74,8,223
150835,VITORIA DO XINGU,-,94,52,19,23,21,92,140,121,51,190,212,179,1194
150840,XINGUARA,1,14,74,89,874,12,22,224,129,151,242,130,453,2415
160005,SERRA DO NAVIO,-,12,14,19,39,12,11,-,-,-,22,62,155,346
160010,AMAPA,-,1,2,2,4,1,-,-,-,-,-,2,-,12
160015,PEDRA BRANCA DO AMAPARI,-,133,124,105,42,78,4,-,2,-,82,4,108,682
160020,CALCOENE,-,76,376,75,11,1,-,-,-,-,1,884,23,1447
160021,CUTIAS,-,-,-,-,-,-,-,-,-,-,-,8,-,8
160023,FERREIRA GOMES,-,12,83,125,72,66,1,4,-,-,-,66,66,495
160025,ITAUBAL,-,-,-,-,1,-,-,-,-,-,-,16,-,17
160027,LARANJAL DO JARI,-,866,52,2,25,157,4,12,2,-,340,782,44,2286
160030,MACAPA,1,313,1610,953,386,366,158,36,245,233,633,5743,825,11502
160040,MAZAGAO,-,20,270,9,1,16,-,6,6,3,1,79,125,536
160050,OIAPOQUE,-,612,416,395,230,2,5,2,22,26,77,1003,113,2903
160053,PORTO GRANDE,-,117,139,-,28,-,-,2,-,6,1,444,76,813
160055,PRACUUBA,-,-,-,-,-,-,-,-,-,-,-,11,30,41
160060,SANTANA,-,18,262,78,77,49,14,6,7,21,57,1245,244,2078
160070,TARTARUGALZINHO,-,1,52,70,21,23,1,-,1,1,6,435,50,661
160080,VITORIA DO JARI,-,-,-,-,-,4,-,-,-,-,-,16,9,29
170025,ABREULANDIA,-,14,56,1,3,1,2,-,12,84,4,1,-,178
170030,AGUIARNOPOLIS,-,9,1,11,50,-,16,4,4,117,3,10,12,237
170035,ALIANCA DO TOCANTINS,-,-,4,10,11,-,11,4,-,3,7,-,8,58
170040,ALMAS,-,-,2,24,6,-,7,1,-,1,9,6,46,102
170070,ALVORADA,-,1,5,13,-,9,22,6,-,65,23,39,6,189
170100,ANANAS,-,2,9,49,15,24,25,26,15,29,4,20,8,226
170105,ANGICO,-,-,-,-,2,-,-,-,-,4,-,-,1,7
170110,APARECIDA DO RIO NEGRO,-,1,71,73,30,1,5,5,3,74,2,-,10,275
170130,ARAGOMINAS,-,3,13,37,1,-,24,6,7,23,-,1,2,117
170190,ARAGUACEMA,-,6,7,25,4,-,4,3,3,89,2,-,14,157
170200,ARAGUACU,6,346,56,147,6,21,78,10,10,11,2,28,42,763
170210,ARAGUAINA,10,558,950,1079,1438,448,1846,365,1426,1495,343,465,491,10914
170215,ARAGUANA,-,5,8,20,20,10,7,4,14,-,-,5,1,94
170220,ARAGUATINS,-,23,34,54,84,29,51,11,7,35,11,8,247,594
170230,ARAPOEMA,1,6,5,3,9,4,32,29,140,54,25,24,14,346
170240,ARRAIAS,-,18,52,27,87,21,434,43,36,177,126,374,45,1440
170255,AUGUSTINOPOLIS,-,12,30,69,42,5,23,6,3,25,30,22,131,398
170270,AURORA DO TOCANTINS,-,-,-,18,66,-,1,-,-,46,4,72,-,207
170290,AXIXA DO TOCANTINS,-,1,4,-,14,2,-,-,2,3,3,3,14,46
170300,BABACULANDIA,-,2,-,24,12,-,45,2,16,3,1,2,4,111
170305,BANDEIRANTES DO TOCANTINS,-,3,1,6,1,1,3,2,3,18,2,2,-,42
170307,BARRA DO OURO,-,-,-,-,2,-,-,-,-,24,-,-,-,26
170310,BARROLANDIA,-,10,11,11,4,4,43,2,1,171,58,15,8,338
170320,BERNARDO SAYAO,-,3,-,2,2,6,3,2,15,-,-,1,-,34
170330,BOM JESUS DO TOCANTINS,-,-,16,16,7,1,19,1,-,25,-,1,6,92
170360,BRASILANDIA DO TOCANTINS,-,2,1,2,1,-,1,-,15,5,-,-,1,28
170370,BREJINHO DE NAZARE,-,-,20,15,4,3,17,10,300,36,9,235,13,662
